Project Category,Product Category,Insight Category,Number of records,Link
Mini/Tiny/Micro - PC,Desktop,Micro Desktops,127,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fmicro_desktops&rows=100&userSegment=CES&tabType=products
Mobile printer,Receipt printers,Mobile Printer,361,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=0EA9520360601D7082EB0922CF24ED99.appprd6-1%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Freceipt_printers&rows=100&userSegment=CES%2CCES&tabType=products
Mobile printer,Receipt Printer,Dot Matrix Printers,24,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fdot_matrix_printers&rows=100&userSegment=CES&tabType=products
Mobile Workstation,Mobile workstation,Mobile Workstations,658,https://www.insight.com/en_US/shop/category/notebooks/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Flaptops%2Fmobile_workstations&rows=100&userSegment=CES&tabType=products
Monitor,Monitor,Gaming monitors,128,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Fgaming_monitors&rows=100&userSegment=CES&tabType=products
Monitor,Monitor,LCD Monitors,85,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Flcd_monitors&rows=100&userSegment=CES&tabType=products
Monitor,Monitor,LED Monitors,791,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Fled_monitors&rows=100&userSegment=CES&tabType=products
Monitor,Monitor,Touchscreen Monitors,203,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Ftouchscreen_monitors&rows=100&userSegment=CES&tabType=products
Monitor,Monitor,Widescreen Monitors,53,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Fwidescreen_monitors&rows=100&userSegment=CES&tabType=products
Monitors,Monitor,Curved Monitors,77,https://www.insight.com/en_US/shop/category/monitors/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fmonitors%2Fcurved_monitors&rows=100&userSegment=CES&tabType=products
